implementation,factor,MC
Matlab,2,0.9972539472862206
Matlab,3,0.9964926015342163
Matlab,4,0.9923193600876402
Matlab,1,0.8157228144802738
Matlab,2,0.9978854682515991
Matlab,3,0.9945445697064601
Matlab,4,0.9906481705925584
Matlab,1,0.8406537999107047
Matlab,2,0.9979446857350086
Matlab,3,0.9969961638543339
Matlab,4,0.995158671508849
Matlab,1,0.6677067521385104
Matlab,2,0.9977638362934096
Matlab,3,0.9966576672344054
Matlab,4,0.9933051452307728
Matlab,1,0.937295221842593
Matlab,2,0.9977563582455002
Matlab,3,0.9940524531244446
Matlab,4,0.9925048437807182
Matlab,1,0.7680481601203126
Matlab,2,0.9965034085906024
Matlab,3,0.9971585232642656
Matlab,4,0.9903227710855225
